Task 1 Model 1:
0 ['2.300']
10 ['2.298']
20 ['2.272']
30 ['2.243']
40 ['2.184']
50 ['2.098']
60 ['1.977']
70 ['1.717']
80 ['1.450']
90 ['1.352']
100 ['1.113']
110 ['0.859']
120 ['0.729']
130 ['0.863']
140 ['0.585']
150 ['0.563']
160 ['0.562']
170 ['0.513']
180 ['0.498']
190 ['0.469']
200 ['0.491']
210 ['0.546']
220 ['0.339']
230 ['0.339']
240 ['0.337']
250 ['0.264']
260 ['0.390']
270 ['0.304']
280 ['0.300']
290 ['0.469']
300 ['0.485']
310 ['0.221']
320 ['0.418']
330 ['0.269']
340 ['0.280']
350 ['0.396']
360 ['0.257']
370 ['0.441']
380 ['0.261']
390 ['0.203']
400 ['0.304']
410 ['0.196']
420 ['0.351']
430 ['0.391']
440 ['0.168']
450 ['0.229']
460 ['0.399']
Train: [1][469/469]	loss 0.255 (0.756)	Acc@1 93.750 (80.000)
Test model 1 on task 1
Test: [3/3]	loss 0.328 (0.308)	Acc@1 90.597 (91.110)
############################################################ Avg acc: 91.11
Task 2 Model 1:
0 ['0.314', '3.115']
Test: [3/3]	loss 0.530 (0.510)	Acc@1 84.513 (85.370)
Test model 1 on task 10
Test: [3/3]	loss 0.580 (0.542)	Acc@1 83.850 (84.300)
Test model 1 on task 11
Test: [3/3]	loss 0.579 (0.580)	Acc@1 83.075 (82.920)
Test model 1 on task 12
Test: [3/3]	loss 0.641 (0.614)	Acc@1 81.361 (82.040)
Test model 1 on task 13
Test: [3/3]	loss 0.655 (0.660)	Acc@1 79.812 (80.400)
############################################################ Avg acc: 85.72
Task 14 Model 1:
0 ['0.684', '3.954']
10 ['0.723', '3.311']
20 ['0.808', '2.432']
30 ['0.859', '1.785']
40 ['0.890', '1.719']
50 ['0.917', '1.646']
60 ['0.940', '1.413']
70 ['0.952', '1.189']
80 ['0.961', '1.183']
90 ['0.971', '1.184']
100 ['0.976', '1.029']
110 ['0.979', '1.051']
120 ['0.983', '1.140']
130 ['0.985', '1.005']
140 ['0.987', '1.004']
150 ['0.990', '0.850']
160 ['0.994', '0.920']
170 ['0.995', '1.033']
180 ['0.997', '1.036']
190 ['0.998', '0.858']
200 ['0.997', '0.774']
210 ['0.996', '0.831']
220 ['0.997', '0.845']
230 ['0.997', '0.813']
240 ['0.996', '0.807']
250 ['0.997', '0.907']
260 ['0.998', '0.743']
270 ['0.999', '0.818']
280 ['0.999', '0.845']
290 ['0.998', '0.763']
300 ['0.998', '0.858']
310 ['0.998', '0.781']
320 ['0.997', '0.689']
330 ['0.997', '0.719']
340 ['0.995', '0.840']
350 ['0.995', '0.779']
360 ['0.993', '0.763']
370 ['0.993', '0.792']
380 ['0.992', '0.752']
390 ['0.993', '0.953']
400 ['0.993', '0.729']
410 ['0.993', '0.699']
420 ['0.993', '0.712']
430 ['0.992', '0.685']
440 ['0.992', '0.727']
450 ['0.991', '0.753']
460 ['0.990', '0.746']
Train: [1][469/469]	loss 0.141 (0.145)	Acc@1 72.917 (66.973)
Test model 1 on task 1
Test: [3/3]	loss 0.418 (0.390)	Acc@1 87.002 (87.580)
Test model 1 on task 2
Test: [3/3]	loss 0.432 (0.378)	Acc@1 86.504 (88.330)
Test model 1 on task 3
Test: [3/3]	loss 0.391 (0.384)	Acc@1 88.551 (88.420)
Test model 1 on task 4
Test: [3/3]	loss 0.397 (0.411)	Acc@1 88.385 (87.530)
Test model 1 on task 5
Test: [3/3]	loss 0.414 (0.422)	Acc@1 87.058 (87.220)
Test model 1 on task 6
Test: [3/3]	loss 0.439 (0.445)	Acc@1 85.896 (86.580)
Test model 1 on task 7
Test: [3/3]	loss 0.446 (0.452)	Acc@1 87.058 (86.330)
Test model 1 on task 8
Test: [3/3]	loss 0.501 (0.488)	Acc@1 85.785 (85.880)
Test model 1 on task 9
Test: [3/3]	loss 0.522 (0.516)	Acc@1 85.343 (84.980)
Test model 1 on task 10
Test: [3/3]	loss 0.532 (0.547)	Acc@1 84.679 (83.860)
Test model 1 on task 11
Test: [3/3]	loss 0.578 (0.580)	Acc@1 82.743 (83.460)
Test model 1 on task 12
Test: [3/3]	loss 0.613 (0.616)	Acc@1 81.084 (81.560)
Test model 1 on task 13
Test: [3/3]	loss 0.633 (0.658)	Acc@1 80.863 (80.400)
Test model 1 on task 14
Test: [3/3]	loss 0.695 (0.677)	Acc@1 79.314 (80.150)
############################################################ Avg acc: 85.16
Task 15 Model 1:
0 ['0.714', '4.028']
10 ['0.748', '3.292']
20 ['0.837', '2.683']
30 ['0.908', '2.152']
40 ['0.949', '1.760']
50 ['0.982', '1.661']
60 ['1.008', '1.511']
70 ['1.026', '1.352']
80 ['1.038', '1.289']
90 ['1.043', '1.199']
100 ['1.045', '1.219']
110 ['1.051', '1.031']
120 ['1.054', '0.977']
130 ['1.056', '1.191']
140 ['1.056', '0.881']
150 ['1.058', '1.045']
160 ['1.059', '1.062']
170 ['1.061', '1.103']
180 ['1.063', '0.949']
190 ['1.062', '0.925']
200 ['1.061', '0.967']
210 ['1.060', '0.824']
220 ['1.062', '0.980']
230 ['1.062', '0.795']
240 ['1.062', '0.888']
250 ['1.062', '0.789']
260 ['1.064', '0.704']
270 ['1.065', '0.754']
280 ['1.065', '0.803']
290 ['1.066', '0.948']
300 ['1.065', '0.761']
310 ['1.066', '0.810']
320 ['1.066', '0.684']
330 ['1.063', '0.776']
340 ['1.061', '0.835']
350 ['1.060', '0.818']
360 ['1.060', '0.838']
370 ['1.061', '0.931']
380 ['1.057', '0.638']
390 ['1.054', '0.815']
400 ['1.052', '0.837']
410 ['1.050', '0.827']
420 ['1.049', '0.693']
430 ['1.049', '0.774']
440 ['1.047', '0.749']
450 ['1.046', '0.745']
460 ['1.045', '0.650']
Train: [1][469/469]	loss 0.122 (0.143)	Acc@1 77.083 (65.888)
Test model 1 on task 1
Test: [3/3]	loss 0.414 (0.399)	Acc@1 85.564 (87.180)
Test model 1 on task 2
Test: [3/3]	loss 0.374 (0.382)	Acc@1 88.551 (88.160)
Test model 1 on task 3
Test: [3/3]	loss 0.417 (0.387)	Acc@1 86.892 (88.290)
Test model 1 on task 4
Test: [3/3]	loss 0.423 (0.419)	Acc@1 87.168 (87.240)
Test model 1 on task 5
Test: [3/3]	loss 0.455 (0.431)	Acc@1 85.564 (87.150)
Test model 1 on task 6
Test: [3/3]	loss 0.455 (0.448)	Acc@1 86.560 (86.430)
Test model 1 on task 7
Test: [3/3]	loss 0.468 (0.457)	Acc@1 85.785 (86.320)
Test model 1 on task 8
Test: [3/3]	loss 0.470 (0.492)	Acc@1 85.896 (85.570)
Test model 1 on task 9
Test: [3/3]	loss 0.527 (0.520)	Acc@1 85.232 (85.100)
Test model 1 on task 10
Test: [3/3]	loss 0.569 (0.550)	Acc@1 83.131 (83.840)
Test model 1 on task 11
Test: [3/3]	loss 0.570 (0.580)	Acc@1 83.462 (83.360)
Test model 1 on task 12
Test: [3/3]	loss 0.615 (0.616)	Acc@1 80.642 (81.410)
Test model 1 on task 13
Test: [3/3]	loss 0.666 (0.655)	Acc@1 79.369 (80.350)
Test model 1 on task 14
Test: [3/3]	loss 0.687 (0.667)	Acc@1 79.867 (80.310)
Test model 1 on task 15
Test: [3/3]	loss 0.728 (0.731)	Acc@1 78.485 (78.190)
############################################################ Avg acc: 84.59
Task 16 Model 1:
0 ['0.757', '3.630']
10 ['0.796', '2.647']
20 ['0.871', '2.431']
30 ['0.921', '1.950']
40 ['0.952', '1.814']
50 ['0.980', '1.663']
60 ['1.003', '1.482']
70 ['1.020', '1.527']
80 ['1.037', '1.354']
90 ['1.048', '1.410']
100 ['1.057', '1.444']
110 ['1.066', '1.134']
120 ['1.072', '1.153']
130 ['1.076', '1.258']
140 ['1.084', '1.053']
150 ['1.088', '1.121']
160 ['1.092', '1.045']
170 ['1.096', '1.115']
180 ['1.098', '1.186']
190 ['1.101', '1.103']
200 ['1.104', '0.953']
210 ['1.105', '1.066']
220 ['1.106', '1.046']
230 ['1.106', '1.105']
240 ['1.106', '1.222']
250 ['1.108', '0.994']
260 ['1.109', '0.976']
270 ['1.110', '0.912']
280 ['1.109', '0.859']
290 ['1.109', '0.976']
300 ['1.110', '1.036']
310 ['1.109', '0.918']
320 ['1.107', '0.818']
330 ['1.105', '0.960']
340 ['1.106', '1.096']
350 ['1.109', '0.924']
360 ['1.110', '0.871']
370 ['1.108', '0.839']
380 ['1.107', '0.745']
390 ['1.106', '0.866']
400 ['1.105', '0.853']
410 ['1.104', '0.668']
420 ['1.102', '1.118']
430 ['1.100', '0.789']
440 ['1.100', '0.802']
450 ['1.101', '0.770']
460 ['1.100', '0.831']
Train: [1][469/469]	loss 0.116 (0.141)	Acc@1 80.208 (62.158)
Test model 1 on task 1
Test: [3/3]	loss 0.408 (0.404)	Acc@1 87.334 (87.010)
Test model 1 on task 2
Test: [3/3]	loss 0.382 (0.387)	Acc@1 88.717 (88.040)
Test model 1 on task 3
Test: [3/3]	loss 0.336 (0.390)	Acc@1 89.436 (88.230)
Test model 1 on task 4
Test: [3/3]	loss 0.435 (0.423)	Acc@1 87.445 (87.120)
Test model 1 on task 5
Test: [3/3]	loss 0.425 (0.438)	Acc@1 86.228 (86.810)
Test model 1 on task 6
Test: [3/3]	loss 0.471 (0.454)	Acc@1 85.619 (86.270)
Test model 1 on task 7
Test: [3/3]	loss 0.490 (0.462)	Acc@1 85.730 (86.340)
Test model 1 on task 8
Test: [3/3]	loss 0.515 (0.497)	Acc@1 85.343 (85.470)
Test model 1 on task 9
Test: [3/3]	loss 0.543 (0.523)	Acc@1 83.407 (84.980)
Test model 1 on task 10
Test: [3/3]	loss 0.538 (0.551)	Acc@1 84.513 (83.810)
Test model 1 on task 11
Test: [3/3]	loss 0.588 (0.586)	Acc@1 82.135 (82.800)
Test model 1 on task 12
Test: [3/3]	loss 0.618 (0.619)	Acc@1 81.416 (81.440)
Test model 1 on task 13
Test: [3/3]	loss 0.642 (0.658)	Acc@1 80.531 (80.200)
Test model 1 on task 14
Test: [3/3]	loss 0.656 (0.669)	Acc@1 80.697 (80.280)
Test model 1 on task 15
Test: [3/3]	loss 0.748 (0.729)	Acc@1 77.323 (78.350)
Test model 1 on task 16
Test: [3/3]	loss 0.831 (0.824)	Acc@1 75.442 (75.240)
############################################################ Avg acc: 83.90
Task 17 Model 1:
0 ['0.857', '3.516']
10 ['0.896', '2.976']
20 ['0.976', '2.234']
30 ['1.043', '1.962']
40 ['1.083', '1.624']
50 ['1.111', '1.546']
60 ['1.133', '1.676']
70 ['1.151', '1.392']
80 ['1.163', '1.226']
90 ['1.172', '1.278']
100 ['1.176', '1.256']
110 ['1.182', '1.054']
120 ['1.184', '1.285']
130 ['1.187', '1.233']
140 ['1.192', '0.832']
150 ['1.194', '1.228']
160 ['1.195', '1.071']
170 ['1.200', '1.363']
180 ['1.201', '1.055']
190 ['1.202', '1.063']
200 ['1.203', '0.965']
210 ['1.202', '1.171']
220 ['1.204', '1.067']
230 ['1.206', '0.949']
240 ['1.205', '1.005']
250 ['1.205', '0.846']
260 ['1.204', '1.112']
270 ['1.202', '0.918']
280 ['1.205', '1.021']
290 ['1.202', '1.148']
300 ['1.200', '0.934']
310 ['1.200', '0.916']
320 ['1.199', '0.781']
330 ['1.199', '0.961']
340 ['1.200', '1.086']
350 ['1.199', '0.932']
360 ['1.197', '0.946']
370 ['1.197', '1.018']
380 ['1.195', '0.963']
390 ['1.192', '0.810']
400 ['1.190', '0.986']
410 ['1.187', '0.771']
420 ['1.184', '0.885']
430 ['1.185', '0.883']
440 ['1.184', '0.794']
450 ['1.183', '0.921']
460 ['1.180', '0.909']
Train: [1][469/469]	loss 0.120 (0.137)	Acc@1 68.750 (62.197)
Test model 1 on task 1
Test: [3/3]	loss 0.374 (0.407)	Acc@1 87.500 (86.910)
Test model 1 on task 2
Test: [3/3]	loss 0.386 (0.393)	Acc@1 87.445 (87.870)
Test model 1 on task 3
Test: [3/3]	loss 0.373 (0.394)	Acc@1 88.330 (88.040)
Test model 1 on task 4
Test: [3/3]	loss 0.444 (0.429)	Acc@1 85.951 (86.960)
Test model 1 on task 5
Test: [3/3]	loss 0.441 (0.442)	Acc@1 86.117 (86.590)
Test model 1 on task 6
Test: [3/3]	loss 0.437 (0.457)	Acc@1 87.500 (86.110)
Test model 1 on task 7
Test: [3/3]	loss 0.472 (0.466)	Acc@1 85.896 (86.010)
Test model 1 on task 8
Test: [3/3]	loss 0.482 (0.499)	Acc@1 85.398 (85.420)
Test model 1 on task 9
Test: [3/3]	loss 0.505 (0.529)	Acc@1 85.011 (84.540)
Test model 1 on task 10
Test: [3/3]	loss 0.565 (0.553)	Acc@1 83.684 (83.570)
Test model 1 on task 11
Test: [3/3]	loss 0.571 (0.589)	Acc@1 83.739 (82.850)
Test model 1 on task 12
Test: [3/3]	loss 0.624 (0.620)	Acc@1 81.305 (81.500)
Test model 1 on task 13
Test: [3/3]	loss 0.687 (0.661)	Acc@1 79.923 (80.380)
Test model 1 on task 14
Test: [3/3]	loss 0.663 (0.670)	Acc@1 80.476 (80.420)
Test model 1 on task 15
Test: [3/3]	loss 0.716 (0.716)	Acc@1 78.761 (78.770)
Test model 1 on task 16
Test: [3/3]	loss 0.825 (0.818)	Acc@1 74.502 (75.390)
Test model 1 on task 17
Test: [3/3]	loss 0.825 (0.834)	Acc@1 74.226 (73.660)
############################################################ Avg acc: 83.23
Task 18 Model 1:
0 ['0.864', '2.833']
10 ['0.885', '2.433']
20 ['0.932', '1.975']
30 ['0.975', '1.826']
40 ['1.009', '1.758']
50 ['1.035', '1.509']
60 ['1.058', '1.395']
70 ['1.075', '1.336']
80 ['1.090', '1.337']
90 ['1.099', '1.412']
100 ['1.109', '1.209']
110 ['1.116', '1.274']
120 ['1.121', '1.346']
130 ['1.123', '1.150']
140 ['1.126', '1.325']
150 ['1.133', '1.030']
160 ['1.138', '0.964']
170 ['1.142', '1.079']
180 ['1.145', '1.264']
190 ['1.143', '1.010']
200 ['1.147', '1.044']
210 ['1.151', '1.123']
220 ['1.154', '1.051']
230 ['1.154', '0.957']
240 ['1.153', '0.991']
250 ['1.153', '1.013']
260 ['1.153', '1.025']
270 ['1.151', '1.142']
280 ['1.151', '0.904']
290 ['1.149', '0.956']
300 ['1.147', '0.997']
310 ['1.147', '0.896']
320 ['1.147', '0.837']
330 ['1.147', '1.027']
340 ['1.148', '1.064']
350 ['1.148', '1.009']
360 ['1.148', '0.833']
370 ['1.147', '0.852']
380 ['1.150', '0.806']
390 ['1.149', '1.128']
400 ['1.148', '0.949']
410 ['1.148', '1.020']
420 ['1.147', '0.911']
430 ['1.145', '0.907']
440 ['1.146', '0.860']
450 ['1.147', '0.827']
460 ['1.146', '0.926']
Train: [1][469/469]	loss 0.111 (0.126)	Acc@1 72.917 (61.867)
Test model 1 on task 1
Test: [3/3]	loss 0.391 (0.409)	Acc@1 87.002 (86.790)
Test model 1 on task 2
Test: [3/3]	loss 0.412 (0.396)	Acc@1 87.113 (87.860)
Test model 1 on task 3
Test: [3/3]	loss 0.446 (0.398)	Acc@1 87.058 (87.740)
Test model 1 on task 4
Test: [3/3]	loss 0.420 (0.435)	Acc@1 88.108 (86.930)
Test model 1 on task 5
Test: [3/3]	loss 0.430 (0.448)	Acc@1 86.117 (86.290)
Test model 1 on task 6
Test: [3/3]	loss 0.470 (0.461)	Acc@1 85.675 (85.930)
Test model 1 on task 7
Test: [3/3]	loss 0.473 (0.466)	Acc@1 86.062 (85.910)
Test model 1 on task 8
Test: [3/3]	loss 0.528 (0.502)	Acc@1 84.237 (85.150)
Test model 1 on task 9
Test: [3/3]	loss 0.521 (0.532)	Acc@1 84.624 (84.470)
Test model 1 on task 10
Test: [3/3]	loss 0.543 (0.556)	Acc@1 83.352 (83.430)
Test model 1 on task 11
Test: [3/3]	loss 0.580 (0.590)	Acc@1 83.684 (82.790)
Test model 1 on task 12
Test: [3/3]	loss 0.625 (0.621)	Acc@1 81.692 (81.280)
Test model 1 on task 13
Test: [3/3]	loss 0.650 (0.664)	Acc@1 79.591 (80.150)
Test model 1 on task 14
Test: [3/3]	loss 0.650 (0.666)	Acc@1 81.195 (80.590)
Test model 1 on task 15
Test: [3/3]	loss 0.719 (0.711)	Acc@1 78.595 (78.980)
Test model 1 on task 16
Test: [3/3]	loss 0.793 (0.811)	Acc@1 76.991 (75.330)
Test model 1 on task 17
Test: [3/3]	loss 0.822 (0.828)	Acc@1 73.451 (73.780)
Test model 1 on task 18
Test: [3/3]	loss 0.901 (0.871)	Acc@1 71.626 (72.010)
############################################################ Avg acc: 82.52
Task 19 Model 1:
0 ['0.889', '3.486']
10 ['0.938', '3.395']
20 ['1.035', '2.686']
30 ['1.096', '2.162']
40 ['1.134', '1.937']
50 ['1.165', '2.072']
60 ['1.196', '1.722']
70 ['1.216', '1.610']
80 ['1.230', '1.351']
90 ['1.239', '1.393']
100 ['1.247', '1.317']
110 ['1.252', '1.292']
120 ['1.255', '1.358']
130 ['1.257', '1.374']
140 ['1.259', '1.050']
150 ['1.264', '1.243']
160 ['1.267', '1.225']
170 ['1.266', '1.246']
180 ['1.264', '1.303']
190 ['1.263', '1.061']
200 ['1.265', '0.995']
210 ['1.265', '1.205']
220 ['1.264', '1.242']
230 ['1.262', '1.177']
240 ['1.260', '1.241']
250 ['1.258', '1.144']
260 ['1.258', '1.214']
270 ['1.255', '1.026']
280 ['1.254', '1.071']
290 ['1.255', '1.057']
300 ['1.256', '1.009']
310 ['1.254', '1.153']
320 ['1.252', '0.924']
330 ['1.251', '0.961']
340 ['1.250', '1.027']
350 ['1.248', '0.956']
360 ['1.246', '0.969']
370 ['1.246', '1.112']
380 ['1.244', '0.999']
390 ['1.243', '1.008']
400 ['1.243', '1.062']
410 ['1.240', '1.027']
420 ['1.237', '0.981']
430 ['1.236', '1.088']
440 ['1.235', '1.062']
450 ['1.233', '0.835']
460 ['1.233', '0.893']
Train: [1][469/469]	loss 0.118 (0.133)	Acc@1 64.583 (58.093)
Test model 1 on task 1
Test: [3/3]	loss 0.369 (0.412)	Acc@1 88.385 (86.800)
Test model 1 on task 2
Test: [3/3]	loss 0.401 (0.398)	Acc@1 87.500 (87.580)
Test model 1 on task 3
Test: [3/3]	loss 0.426 (0.401)	Acc@1 87.721 (87.810)
Test model 1 on task 4
Test: [3/3]	loss 0.446 (0.441)	Acc@1 86.781 (86.740)
Test model 1 on task 5
Test: [3/3]	loss 0.426 (0.455)	Acc@1 87.058 (86.120)
Test model 1 on task 6
Test: [3/3]	loss 0.475 (0.463)	Acc@1 85.785 (85.910)
Test model 1 on task 7
Test: [3/3]	loss 0.496 (0.469)	Acc@1 85.896 (85.960)
Test model 1 on task 8
Test: [3/3]	loss 0.506 (0.508)	Acc@1 85.177 (85.120)
Test model 1 on task 9
Test: [3/3]	loss 0.519 (0.535)	Acc@1 85.619 (84.280)
Test model 1 on task 10
Test: [3/3]	loss 0.567 (0.557)	Acc@1 83.131 (83.430)
Test model 1 on task 11
Test: [3/3]	loss 0.561 (0.597)	Acc@1 84.679 (82.730)
Test model 1 on task 12
Test: [3/3]	loss 0.648 (0.631)	Acc@1 80.254 (81.050)
Test model 1 on task 13
Test: [3/3]	loss 0.707 (0.662)	Acc@1 79.093 (80.400)
Test model 1 on task 14
Test: [3/3]	loss 0.662 (0.665)	Acc@1 80.531 (80.490)
Test model 1 on task 15
Test: [3/3]	loss 0.704 (0.706)	Acc@1 79.204 (79.190)
Test model 1 on task 16
Test: [3/3]	loss 0.763 (0.810)	Acc@1 77.157 (75.320)
Test model 1 on task 17
Test: [3/3]	loss 0.829 (0.819)	Acc@1 74.613 (74.140)
Test model 1 on task 18
Test: [3/3]	loss 0.841 (0.863)	Acc@1 73.285 (72.390)
Test model 1 on task 19
Test: [3/3]	loss 0.861 (0.922)	Acc@1 74.226 (71.180)
############################################################ Avg acc: 81.93
Task 20 Model 1:
0 ['0.940', '3.558']
10 ['0.978', '3.460']
20 ['1.079', '2.877']
30 ['1.174', '2.598']
40 ['1.241', '2.295']
50 ['1.284', '1.946']
60 ['1.311', '2.104']
70 ['1.334', '1.839']
80 ['1.353', '1.752']
90 ['1.365', '1.515']
100 ['1.373', '1.687']
110 ['1.380', '1.450']
120 ['1.387', '1.631']
130 ['1.393', '1.442']
140 ['1.395', '1.401']
150 ['1.399', '1.339']
160 ['1.399', '1.414']
170 ['1.396', '1.249']
180 ['1.395', '1.338']
190 ['1.393', '1.287']
200 ['1.394', '1.244']
210 ['1.395', '1.242']
220 ['1.395', '1.175']
230 ['1.391', '1.400']
240 ['1.390', '1.296']
250 ['1.389', '1.266']
260 ['1.385', '1.349']
270 ['1.383', '1.198']
280 ['1.380', '1.188']
290 ['1.378', '1.134']
300 ['1.378', '1.124']
310 ['1.375', '1.297']
320 ['1.373', '1.146']
330 ['1.371', '1.056']
340 ['1.370', '1.041']
350 ['1.368', '1.280']
360 ['1.366', '1.174']
370 ['1.368', '1.113']
380 ['1.366', '1.053']
390 ['1.361', '1.043']
400 ['1.357', '1.113']
410 ['1.356', '1.095']
420 ['1.353', '0.845']
430 ['1.349', '1.059']
440 ['1.346', '1.119']
450 ['1.344', '1.005']
460 ['1.339', '1.251']
Train: [1][469/469]	loss 0.120 (0.139)	Acc@1 60.417 (53.698)
Test model 1 on task 1
Test: [3/3]	loss 0.389 (0.411)	Acc@1 87.721 (86.750)
Test model 1 on task 2
Test: [3/3]	loss 0.414 (0.404)	Acc@1 88.053 (87.540)
Test model 1 on task 3
Test: [3/3]	loss 0.415 (0.405)	Acc@1 87.334 (87.690)
Test model 1 on task 4
Test: [3/3]	loss 0.437 (0.443)	Acc@1 87.445 (86.910)
Test model 1 on task 5
Test: [3/3]	loss 0.447 (0.459)	Acc@1 86.173 (86.060)
Test model 1 on task 6
Test: [3/3]	loss 0.468 (0.467)	Acc@1 86.117 (85.810)
Test model 1 on task 7
Test: [3/3]	loss 0.483 (0.474)	Acc@1 84.790 (85.810)
Test model 1 on task 8
Test: [3/3]	loss 0.497 (0.515)	Acc@1 85.454 (85.100)
Test model 1 on task 9
Test: [3/3]	loss 0.562 (0.539)	Acc@1 83.739 (84.370)
Test model 1 on task 10
Test: [3/3]	loss 0.554 (0.560)	Acc@1 84.015 (83.480)
Test model 1 on task 11
Test: [3/3]	loss 0.585 (0.595)	Acc@1 83.794 (82.750)
Test model 1 on task 12
Test: [3/3]	loss 0.621 (0.634)	Acc@1 81.195 (81.110)
Test model 1 on task 13
Test: [3/3]	loss 0.669 (0.666)	Acc@1 79.591 (80.420)
Test model 1 on task 14
Test: [3/3]	loss 0.658 (0.659)	Acc@1 81.305 (81.030)
Test model 1 on task 15
Test: [3/3]	loss 0.716 (0.701)	Acc@1 78.706 (79.250)
Test model 1 on task 16
Test: [3/3]	loss 0.789 (0.797)	Acc@1 76.549 (76.000)
Test model 1 on task 17
Test: [3/3]	loss 0.841 (0.811)	Acc@1 73.838 (74.470)
Test model 1 on task 18
Test: [3/3]	loss 0.859 (0.857)	Acc@1 72.069 (72.340)
Test model 1 on task 19
Test: [3/3]	loss 0.937 (0.908)	Acc@1 70.133 (71.630)
Test model 1 on task 20
Test: [3/3]	loss 1.001 (1.009)	Acc@1 69.248 (68.510)
############################################################ Avg acc: 81.35
Task 21 Model 1:
0 ['1.046', '3.677']
10 ['1.093', '3.196']
20 ['1.184', '2.789']
30 ['1.258', '2.253']
40 ['1.311', '2.108']
50 ['1.344', '2.056']
60 ['1.370', '1.854']
70 ['1.392', '1.641']
80 ['1.409', '1.700']
90 ['1.422', '1.845']
100 ['1.429', '1.431']
110 ['1.435', '1.597']
120 ['1.443', '1.531']
130 ['1.447', '1.620']
140 ['1.445', '1.438']
150 ['1.443', '1.220']
160 ['1.445', '1.606']
170 ['1.449', '1.397']
180 ['1.455', '1.437']
190 ['1.453', '1.453']
200 ['1.450', '1.407']
210 ['1.449', '1.344']
220 ['1.448', '1.294']
230 ['1.447', '1.350']
240 ['1.449', '1.243']
250 ['1.447', '1.423']
260 ['1.446', '1.346']
270 ['1.444', '1.325']
280 ['1.442', '1.270']
290 ['1.441', '1.142']
300 ['1.442', '1.140']
310 ['1.439', '1.103']
320 ['1.438', '1.148']
330 ['1.437', '0.994']
340 ['1.434', '1.167']
350 ['1.432', '1.166']
360 ['1.430', '0.948']
370 ['1.428', '1.046']
380 ['1.428', '1.097']
390 ['1.426', '1.156']
400 ['1.426', '1.101']
410 ['1.425', '1.206']
420 ['1.422', '1.165']
430 ['1.420', '1.048']
440 ['1.418', '1.260']
450 ['1.420', '0.894']
460 ['1.419', '1.091']
Train: [1][469/469]	loss 0.121 (0.137)	Acc@1 63.542 (52.800)
Test model 1 on task 1
Test: [3/3]	loss 0.416 (0.414)	Acc@1 86.560 (86.730)
Test model 1 on task 2
Test: [3/3]	loss 0.404 (0.409)	Acc@1 87.555 (87.330)
Test model 1 on task 3
Test: [3/3]	loss 0.375 (0.408)	Acc@1 89.159 (87.630)
Test model 1 on task 4
Test: [3/3]	loss 0.459 (0.445)	Acc@1 86.560 (86.750)
Test model 1 on task 5
Test: [3/3]	loss 0.469 (0.464)	Acc@1 85.951 (85.920)
Test model 1 on task 6
Test: [3/3]	loss 0.492 (0.475)	Acc@1 85.509 (85.580)
Test model 1 on task 7
Test: [3/3]	loss 0.445 (0.476)	Acc@1 86.892 (85.780)
Test model 1 on task 8
Test: [3/3]	loss 0.496 (0.517)	Acc@1 85.675 (84.920)
Test model 1 on task 9
Test: [3/3]	loss 0.536 (0.547)	Acc@1 85.177 (84.140)
Test model 1 on task 10
Test: [3/3]	loss 0.576 (0.564)	Acc@1 83.186 (83.200)
Test model 1 on task 11
Test: [3/3]	loss 0.600 (0.602)	Acc@1 82.412 (82.470)
Test model 1 on task 12
Test: [3/3]	loss 0.661 (0.637)	Acc@1 80.420 (80.740)
Test model 1 on task 13
Test: [3/3]	loss 0.701 (0.663)	Acc@1 79.425 (80.590)
Test model 1 on task 14
Test: [3/3]	loss 0.704 (0.662)	Acc@1 77.931 (80.750)
Test model 1 on task 15
Test: [3/3]	loss 0.687 (0.704)	Acc@1 79.259 (79.010)
Test model 1 on task 16
Test: [3/3]	loss 0.821 (0.793)	Acc@1 74.502 (76.000)
Test model 1 on task 17
Test: [3/3]	loss 0.819 (0.807)	Acc@1 74.226 (74.760)
Test model 1 on task 18
Test: [3/3]	loss 0.886 (0.860)	Acc@1 71.626 (72.050)
Test model 1 on task 19
Test: [3/3]	loss 0.879 (0.902)	Acc@1 72.732 (71.970)
Test model 1 on task 20
Test: [3/3]	loss 0.967 (0.979)	Acc@1 69.856 (69.540)
Test model 1 on task 21
Test: [3/3]	loss 1.071 (1.038)	Acc@1 65.763 (67.010)
############################################################ Avg acc: 80.61
Task 22 Model 1:
0 ['1.069', '4.133']
10 ['1.113', '3.603']
20 ['1.212', '3.068']
30 ['1.299', '2.542']
40 ['1.368', '1.957']
50 ['1.420', '2.157']
60 ['1.447', '1.992']
70 ['1.467', '1.947']
80 ['1.479', '1.872']
90 ['1.490', '1.609']
100 ['1.495', '1.540']
110 ['1.499', '1.546']
120 ['1.501', '1.565']
130 ['1.508', '1.440']
140 ['1.512', '1.455']
150 ['1.514', '1.486']
160 ['1.514', '1.412']
170 ['1.510', '1.439']
180 ['1.508', '1.290']
190 ['1.506', '1.397']
200 ['1.507', '1.546']
210 ['1.508', '1.294']
220 ['1.507', '1.194']
230 ['1.506', '1.100']
240 ['1.501', '1.257']
250 ['1.495', '1.172']
260 ['1.491', '1.306']
270 ['1.485', '1.299']
280 ['1.485', '1.409']
290 ['1.484', '1.236']
300 ['1.482', '1.164']
310 ['1.479', '1.108']
320 ['1.478', '1.209']
330 ['1.474', '1.100']
340 ['1.470', '1.123']
350 ['1.469', '1.261']
